,neutralTendency,depressionTendency,suicidalTendency
neutralTendency,1.0,0.10239235229344958,0.27119480082452985
depressionTendency,0.10239235229344958,1.0,0.5698243922156835
suicidalTendency,0.27119480082452985,0.5698243922156835,1.0
